frame_number,timestamp_ms,time_seconds,cardiac_intensity,global_motion
72,15378646,15378.646,46.357142857142854,0.7766628598795337
73,15378722,15378.722,48.2,0.826433531654663
74,15378797,15378.797,43.7,0.7912146106946158
75,15378873,15378.873,46.1,0.8040256773932104
76,15378950,15378.95,46.31428571428572,0.7859833483762825
77,15379025,15379.025,47.84285714285714,0.7891423676987972
78,15379102,15379.102,45.385714285714286,0.829330066864374
79,15379179,15379.179,45.01428571428571,0.8081287185249314
80,15379257,15379.257,46.08571428571429,0.7943460001105196
81,15379332,15379.332,46.07142857142857,0.7795916299802906
82,15379406,15379.406,48.75714285714286,0.8231455727679641
83,15379482,15379.482,43.4,0.7898975851461622
84,15379557,15379.557,45.98571428571429,0.8085846119840115
85,15379634,15379.634,45.97142857142857,0.7924349315699313
86,15379708,15379.708,46.7,0.7925638711341155
87,15379785,15379.785,46.871428571428574,0.8337278269999447
88,15379861,15379.861,44.65714285714286,0.802565897327267
89,15379939,15379.939,46.142857142857146,0.7990568991876807
90,15380014,15380.014000000001,46.15714285714286,0.7886726592864116
91,15380090,15380.09,48.75714285714286,0.8090727403341377
92,15380167,15380.167,43.857142857142854,0.8121212400302087
93,15380244,15380.244,45.642857142857146,0.8150638250842712
94,15380320,15380.32,46.114285714285714,0.7933282985503509
95,15380396,15380.396,46.371428571428574,0.7853248356020557
96,15380472,15380.472,47.47142857142857,0.836269778408149
97,15380548,15380.548,44.371428571428574,0.7941664057175487
98,15380623,15380.623,46.18571428571428,0.8011107222457589
99,15380700,15380.7,46.22857142857143,0.7885068798467462
100,15380776,15380.776,48.52857142857143,0.8015666157048389
101,15380853,15380.853000000001,44.25714285714286,0.8282156606310671
102,15380947,15380.947,45.714285714285715,0.8084510674353921
103,15381006,15381.006000000001,46.17142857142857,0.8007285085376411
104,15381084,15381.084,46.142857142857146,0.779692939637864
105,15381161,15381.161,48.48571428571429,0.8272624288529905
106,15381239,15381.239,43.75714285714286,0.7875812779752804
107,15381315,15381.315,46.0,0.804343421319236
108,15381392,15381.392,46.1,0.7895107664536094
109,15381469,15381.469000000001,48.2,0.7963215384332001
110,15381544,15381.544,44.32857142857143,0.8361638637661405
111,15381621,15381.621000000001,45.58571428571429,0.8115179870692038
112,15381695,15381.695,46.27142857142857,0.7933282985503509
113,15381772,15381.772,46.17142857142857,0.7844498885593767
